,text
107,read wrong . movi like thought would . interest . would recommend .
108,movi want updat vh copi dvd
109,thought would better preview friend refer . cup tea
110,funni entertain . narrat add lot funni commentari make movi much entertain . fun time
111,"seen tv like . , want copi collect . enjoy meaning ."
112,"watch movi kid , watch , amaz movi , touch great messag . jude law amaz actor !"
113,say love much came way back .
114,"wow , poppi cock right start . bad edit , act , cut scene .. look like put togeth middl school student use iphon imovi ."
115,"rememb first came back earli 's , still fun watch though seem longer time . forgot much . still classic line shot , still fun watch ."
116,... real anni ... love movi would watch ... soooo good make want sing ....
117,"fifth movi halloween seri follow event featur fourth hallowween movi . watch , one get feel franchis get old helm run idea . rental ."
118,"purchas daughter 's stitch fan , love movi & watch ."
119,"order grand , age & love ! thank creat instant purchas . fill `` snow day '' ."
120,"bought first min . cosbi 's perform , show often dui program client ."
121,great movi way end .... think could handl better . n't believ kind ruin whole movi .
122,n't rememb truli stupid lame ... must 've intern happi go saw year ago
123,"probabl worst 's super-hero / pro-wrestl godzilla movi , good moment ."
124,"excel tv show watch , great price , came time , full adventur action , alway someth new go"
125,entertain level classic forbidden planet war world . seen year still enjoy build end .
126,movi poorli direct murder mother poison . whole give two star .
127,excel movi . best yet . alway love movi music . best ! thank alway give .
128,love music . brought back memori mani year ago saw live stage magic .
129,movi amaz . much like real life . actor actress excel .
130,tear jerker ! salli field never fail deliv phenomen perform ! cast actor work well togeth . movi left want .
131,disappoint shown christma bought ! pleasantli surpris includ black/whit version digit color version !
132,british made film madmax beyond thunderdom tina turner mel gibson .. bore stupid . chang min .
133,"hard imagin woman fall love ricketi boat man refer `` old girl '' , nonetheless , 's good stori ."
134,purchas gift daughter appreci thoroiughli enjoy movi . viven leligh given excel rate perform .
135,"use dvd comput ...... dvd n't even recogn dvd comput .... howev , reason , run self-contain dvd player . 's ? ? ? ? ?"
136,tri might never rate predat see recent confirm . decent action type movi realli n't hold candl first one . thought predat actual better .
137,"realli like five year old . n't seen sinc , suspect special effect leav today 's five year olg cold ."
138,realli like first one got fast qualiti n't much better dvd
139,"'m fan robert mitchum 's take john wayn role , movi n't make grade . write bad , direct mediocr act sub par ."
140,great movi ! ! usual patrick swayz great like movi . action pack . watch .
141,"'s ok ... longtim sinc saw first time , good low-act , semi-non-viol film non-english robin hood ."
142,"spice girl , say , beauti , bold , funni , film fun watch , love girl ."
143,interest rendit needless battl . captur condit eastern front winter well . recommend wwii student .
144,"look forward movi . wast , wait free , would n't disappoint . star cast ; terribl written ."
145,"may tain watch latest mad max remak , see much film .... n't think stand test time ."
146,'s littl slow littl confus charact . keep watch get idea . ok .
147,"realli enjoy black lagoon collect . never seen second third movi , first . realli good great time watch old b/w monster movi . recommend collect ."
148,"movi vioent , watch whole thing , good one children ."
149,n't like gave two star know wors .
150,saw year ago . appear videi play cukkoo . felt best train .
151,"good stori probabl someth real , . never know friend enemi ! ! !"
152,"got see tv . sure get one , remak n't good . inde classic worth ad collect"
153,"meh . teacher , pick titl order inspir . n't . `` stand deliv '' far real life inspir ."
154,"movi posit messag . well act , love visual . great plot . nice pick-me-up day ."
155,"good action movi michael mann , n't like end ; n't fit caan could ... still , real good ... sammi"
156,way movi . less graphic blood gore clean entertain famili .
157,"could find movi dvd anywher , found amazon ! good price , easi shop ! love shop thru amazonand find lot stuff ."
158,movi long dumb . kid like man sure n't hold well .
159,"differ spin classic `` christma carol '' . nice , might want add christma collect ."
160,n't list 900.00 ... 've seen 200.00 . seriou price goug
161,wonder classic ! watch everi often believ best peopl love happen .
162,disc would play dvd player . told common thing movi disc .
163,joke realli date . absolut hilari first came though .
164,classic tale cinderella jealou step-sist . music great nice stori young children . everyon fair god-moth ! least dream one !
165,worst music great show ! lucil ball total horribl '' mame '' could sing !
166,"well pace , salaci initi spiritu . quit narr surprisingli touch . 'm religi person still abl appreci messag . mimi excel ."
167,"littl date overli familiar , still wonder rememb . realli worth watch ."
168,"one final got oscar . worth watch , katherin hepburn alway good . glad ."
169,great movi love watch . ca n't go wrong harrison ford lead role .
170,cheesi special effect ... realli well done . follow book . could watch way .
171,would say enjoy part two everi bit much part one . wish part three .
172,movi came great condit n't take long reciev n't seen movi john wayn fan
173,"never realiz limit , wooden actor paul newman back earli 's . luckili , improv age ; excel `` verdict '' ."
174,movi got wors worsedisgust reallyther actual funni partsbut rest sick humor gross . realli dumb !
175,like better first one . mainli jan mackenzi . boy smokin hot . didnt cost much . definatley worth jan alon .
176,one albert brook classic . great support cast well . also watch lost america .
177,glad -- n't seen long time -- sinc film class -- 's still grip ever . friend eager see -- sometim classic best .
178,like classic one sure pleas . john wayn best great support cast .
179,"much like robin william , movi noth . seem spin pointless loop . even end left hang ."
180,move account friendship vengeanc . disturb end yet deepli move touch buildup . certainli suitabl audienc .
181,"mani villain , littl plot . cybermen 've villain 've formid . , plot reminisc `` remembr dalek . '' complet wast time around ."
182,"total differ screen play book disappoint . nevertheless , movi entertain jimmi stewart ... well jimmi stewart ."
183,"great monster scene 're cave neptun son ! goe seventh voyag sinbad , great flick ray harryhausen fan love one !"
184,bought film alan rickman . mani good perform film kevin costner n't one .
185,"amaz , given talent assembl . quit possibl worst movi offer amazon , amazon offer real stinker . realli embarrassingli bad ."
186,'s funni least favorit we anderson movi . 's earli one work . humor worth see 's better one movi ! !
187,"'re mood bit silli cute , apretti good choic ."
188,one movi never got around watch ... incred movi ! kevin spacey one best actor earth ! !
189,thought product exactli need time purchas purchas process smooth effici .
190,good movi moral happen enough day . would recommend dvd adult teen .
191,"good wonder fo scvjkldnhvclksnr sdlk/fnhrskdvcnh jdgsklvnhlsdfkn , /sdgfnsvhk lksdngfwklrsvn /lskdngfrlkvfnhlkn lksdfnglkvnhlkdzsfne/kn lk/gtrnjwlrkjnlgkn/ , dfnewl : knj . , sdngtwlrknvtgnlsrkn sdfnglwkre lknjsdfk sdnmfkl ; . , dfgnmrkl ; nj , snmkdfkl"
192,'ve tom berring fan sinc `` big chill '' sidney poitier alway great . mayb best movi thought enjoy .
193,funni okay rate good actor . enjoy seen rememb funnier first time seen .
194,"love product . took longer expect never less , 'm satisfi ."
195,realli caution buyer 's rate type famili view . threw away !
196,hideou unnecessari mistreat anim . savag cruelti make film . 's abus led major chang way anim treat filmmak get watch terribl abus film .
197,one greatest movi christma ! donna reed jame stewart plu mani wonder charact make great .
198,"item ship quickli , satisfi purchas , would recommend item friend ."
199,educ doco h e n italian mafia state . doco worth watch like topic first stage .
200,"watch tonight . 's hollywood cute - villan , everybodi terribl aim , plot hole galor . put asid 's enjoy fun movi ."
201,"good act - henri fonda , richard widmark , anthoni quinn , etc . actual hero , one realli win , everyon seem lose . strang western . noth special realli ."
202,dvd arriv schedul excel condit advertis . product play advertis .
203,collector michael moor 's documentari tri keep rate unbias . moor made great movi outstand .
204,"although great cast good act , movi depress `` beach '' . definit watch discard ."
205,interest movi lesson miss person ( grandma ) & amnesia . grandson enjoy husband say one time view - next dec .
206,"forget public domain dvd , buy lionsgat dvd box set master 35mm. < data-hook= '' product-link-link '' class= '' a-link-norm '' href= '' /the-alfred-hitchcock-box-set-the-ring-the-manxman-murder-the-skin-game-rich-and-strange/dp/b000kju12s/ref=cm_cr_arp_d_rvw_txt ? ie=utf8 '' > alfr hitchcock box set ( ring / manxman / murder ! / skin game / rich strang ) < /a >"
207,still fun ride year . glass knight show age movi scene lookma bit much like second indi movi worth watch
208,good stori line way much profan . would recommend famili entertain . would purchas realiz often `` f '' bomb would use .
209,"bought movi need explor altern lifestyl . lifestyl portray fair way , nearli charact sever psycholog issu ."
210,"one review put , show odd true navi quirk . basic love stori navi background . end realist , howev . 'd recommend anyon ."
211,"support player come best ... keim ( part n't larg enough ) , hyer kennedi . nice product overblown . princip cast give perform . involv"
212,"enjoy trip memori lane , sadli date . n't watch first episod seri ."
213,read bibl quit often teach bibl class time time . accur account `` joseph '' stori .
214,price good still like origin 's sifi better . decent special effect .
215,show action pack riddl f word . someth like hear .
216,"... rare vh first barney tape ever made ! barney video way differ one . dark purpl , look silli , friendli . take look first barney ."
217,"thismovi bore , script ridicul weak , shame vampir 's legend around world . charact bad , actor obvioulsi sleep ."
218,saw movi long time ago glad chanc see . wish true . know ? mayb !
219,n't buy blur graini . warp disc . worth cent . lost money disc . poor qualiti sure .
220,"movi good , hard view paus pictur littl distort"
221,"kind cheezi movi , like . unusu stori line unforgett scene . love watch sharolyn fenn screen ."
222,cute movi ... put 13-month old nephew kept attent 3/4 movi ( impress ) ! charact song great .
223,movi way better recent remak . bluray awesom movi old . worth purchas . buy .
224,"cute movi , definit disney , great kid adult , 's like anim movi come life , part ."
225,one best movi grow challeng natur world .
226,"slow , n't even play drum second . bore , slow , kim novak gorgeou play part like . would recommend movi anyon ."
227,forgotten ridicul movi . best thing tom jone sing titl track . good qualiti transfer sound .
228,"appar great movi , pleas advis hear impar : english subtitl ! astound bbc neglig provid english subtitl , dialog often difficult comprehend ."
229,mani factual represent movi . act could better . worthwhil watch .
230,"real dvd standard , pictur sound copi like vh recept , ye , clear one ."
231,"classic `` monster space '' film . cours , realli love corni monster movi 50 era truli enjoy . unfortun , last 20-30 minut film sound ."
232,"date . hold time great . burton look phone . compar soldier , tinker , tailor , spi outing seem fabric littl research ."
233,"n't re-mast movi look so-so . cyd chariss look year movi , danc scene entertain . worth buy 's watch movi ."
234,rememb child one forget . show fine .
235,"anoth great jim carrey movi , biographi comedian andi kaufman jim carrey make believ andi kaufman , cours rem song 's man moon great beyond ."
236,love blu ray addit watch movi everi year children grandchildren .
237,classic drama art demonstr practic valu reflect god 's grace express man .
238,man moon stori andi kaufman jim carrey play . think jim carrey play andi kaufman well . great movi .
239,"though unusu , storylin enough twist , turn , entertain charact make interest . cari grant sophia loren great chemistri ."
240,realli love movi n't realiz could n't play state . kind bummer know differ region blue ray movi .
241,best x-men movi . 's x-men aveng movi 'd rank one . worth buck cheap rental .
242,'s true say .... never go back .... includ watch ( enjoy ) movi like one 's .
243,"man man .. one odd movi . love charact , especi attorney . drug use wide , paranoia deep wtf factor high . great movi , typic hunter s. thompson stuff !"
244,"need said ... best movi ever ! watch first time year recent , rememb almost everi line childhood ."
245,"poor act , ridicul poorli write screen play , violenc sake violenc , demonstr industri stoop money"
246,"classic , enjoy film . buy dvd librari -- watch ."
247,nice sing danc unrealist would make cute stage show would recommend almost quit time saw anyway
248,"great classic flick ! littl swear begin , subsid movi went . none less top . entertain movi !"
249,"saw night film societi ( mm ) afterward rent dvd . dvd sharper , appreci noth compar see giant close-up dark , smelli room peopl ."
250,"dvd work star crap luca ad movi back 90 . need releas origin without extra cgi , still best star war movi"
251,bought gift father-in-law like old movi . seen watch coupl time .
252,bought 'm richard widmark fan . holden make good adversari . realli much action keep watch .
253,"doubl layer & doubl side ... say poor qualiti media . one bought return 'm still search season one singl layer , singl side ."
254,"love movi , servic speedi , like , 'm happi person ! movi becom favorit movi time amazon thank ! !"
255,"superb actor iti enough reason watch . realli like oscar materi , opinion . plummer mason gave differ holm watson ."
256,good old time love stori . happi end rate pg r
257,good film base loos happen perl harbor . interest perspect - japanes .
258,-b- titl sure nice movi strang innuendo odd charact . got ta watch yerself
259,discov . okay . would make realli great stage play . sure transfer well film .
260,dull stori worth time unless specif look get depress . act almost poor write .
261,great fun ! kudo whoever dreamt packag catapult & plastic farm anim .
262,would n't fair review movi english subtitl sever hear impair . wish movi ad would mention whether english subtitl avail disc .
263,"love , lot action , great creatur design , better king kong . art underwat film . purchas extra copi dvd grandson enjoy , big fan jaw ."
264,"classic hitchcock thriller shine blu-ray edit . although 've seen film mani time , like new experi new format ."
265,movi show great condit ! ! disc play perfectli movi one favorit ! ! wonder classic !
266,movi great exampl public lie insight govern work us .
267,love movi beyond measur putz mill creek took origin print stuf blue case ... save money ! ! !
268,ever get watch origin dvd ? hate addit remast version .
269,"faith adapt classic novel . dialogu shine , comparison bbc/a & e adapt , limit set sceneri budget drag ."
270,great famili film . lot action kid humor mom dad .
271,"good movi , us armi 69,70,71 , saw guy whose charact familiar . highli recommend ."
272,"set nice period piec . fan sherlock holm , found littl sleuth . 's also rather dark even end ."
273,"like scari movi , ! movi great ghost stori scare everi time see . true horror fan dvd ."
274,review sphe edit . video qualiti great . film . subtitl . recommend releas abbot costello completist ( even 's costello solo ) .
275,"wife greedi man come back haunt driver hang herslef . , realli ghost , play mind game similar play ?"
276,consist beauti interest composit stage . complet unengag emot level . found often appreci see care watch .
277,"great stori plenti twist . n't take serious , true actual histori interest . well worth view ."
278,movi one watch . young man rug background someth life turn around fate .
279,solid act - interest stori line - drag place - good shortag prefer movi watch .
280,lame . call `` ruin life codepend wife . '' said outloud dozen time -- stupid . line movi -- `` hit felt like kiss . ''
281,'s much better hd everi way . hope blu ray forthcom . amazon internet outlet .
282,"movi serious pale comparis blue lagoon . watch , wish watch origin instead crap ."
283,favorit movi . truli enjoy watch movi .
284,seem gregori peck born make movi ! wonder old classic ! ! ! act superb stori heartbreak heartwarm time !
285,one best oldi . best friend time . movi show .
286,dvd wo n't play dvd player ... tri diffrent one ... wrong region . took forev get refund .... movi good one particular dvd bummer
287,realli expect write-up provid film . mayb 'm spoil sophistac special effect one weak . probabl recommend movi anyon .
288,"even spoof , movi n't know ! jame bond fan , bought complet set peter seller fan , movi disappoint ! !"
289,"review version dvd said , one astair 's better movi . neither danc music memor ."
290,great . somewhat slow dull . descript describ `` erot '' `` mesmer '' . sure part movi qualifi either . thought bore .
291,worth watch . better idea hobbit movi suck . seem like lotr call luca syndrom . great movi follow lot garbag .
292,saw shelf target week back . save money alreadi collector 's edit ; old edit w/a cd '80 music .
293,"movi like get suspend disbelief . never , gori , violent movi good actor sell product never convinc need ."
294,"movi made cri . 's inspir even funni part . 's also daniel day lewi , 's legit ."
295,funni movi best . wish close caption less adult languag . good movi
296,"love bob hope , especi , date , realli , aw silli . enjoy , one must realli sever suspend disbelief wacki mood . : ("
297,good movi scifi fan geniou price bucks.giv break 11.99 thank .
298,"n't watch mani movi one keep film librari . wonder , love , stori life , love , death . alway make laugh cri ."
299,"one heston 's coburn ' best movi , one thin plot line kind move made 4am crowd ."
300,"'m fond steve 's sens humor , good remak cyrano ."
301,"film disappoint . definit rent , n't buy unless made goal bond ."
302,favorit romant comedi movi time . richard gere julia robert best on-screen chemistri ever seen .
303,n't make movi like anymor . goe show n't need lot special effect make good horror movi . monster water one land two differ actor .
304,"good stori craziest roman emperor ever . gave good insight deprav sadist man realli . good peter o'tool version , good watch non less ."
305,'ve alway enjoy mr. moto seri copi dark 's hard see action . piti .
306,"well compos romant comedi . strike solid note yearn meaning connect one 's mate . robert grant good chemistri , support cast sever memor charact . worth watch ."
307,love highland . interest movi lambert conneri awesom . fun excit action . must see !
308,like vintag cartoon film one . cute . good old swoon . amaz done day creat work !
309,"bought film class co-teach american cinema . great exampl classic war film movi take place wwii . like war film , must ."
310,"realli enjoy `` adam famili '' tv , remot connect origin seri . guess 'm old ."
311,"good movi . predict , okay , long good end . : - )"
312,"found flick scari hard follow , like bunch scari ghost clip strung togeth . bad ."
313,ok. bit bore time . watch mainli helen mirren . 'm big fan .
314,". last & c movi show . nice gag . person enjoy scene train , big train fan ! ai n't hay ? ? ? ?"
315,episod great year old love .
316,read sleepi hollow good . especi children . artwork great narrat great job keep interest . great kid .
317,movi perfect young children . daughter love arthur .
318,"gross mani level . photographi & set good , 's realli . freaki tast . sure peopl give garbag 4+ star ."
319,movi vh dvd . also stir echo . n't watch 2nd one yet want watch 1st one .
320,'s still nice movi watch even though old . want copi blu-ray format . alreadi movi dvd format includ latest sequel forc awaken .
321,"movi ssso disterb , mean star much movi like . n't worth half star even half half star , mean common 's baaaaaad ...... see ya ."
322,"version movi , releas search . copi low resolut version poor version movi ."
323,great go back see show use love see
324,could get past begin -- slow . bad like richard greer .
325,love instructor easi follow . workout push limit yet low impact .
326,awesom action pack edg seat horror movi hot chick .
327,first thing first . s.s. fan . 's dryphu made worth watch .
328,"love movi special talent ladi , forev lost music lover follow short life ! miss futur gener !"
329,love movi bought dvd upgrad collect vh . receiv `` orient '' write cover dvd sound qualiti poor .
330,"might worst bond movi everi made . laughabl , mani scene made laugh inappropri ."
331,'ve look movi time . 's prolif movi like .
332,"well , goat also one keaton 's best short -- great kafkaesqu setup keaton 's pictur accident use escap crimin ca n't figur everyon run terror ."
333,saw back 60 . horribl special effect love b horror movi one typic genr .
334,"'ve alway like movi . act good . plot hole movi [ give star four ] . besid , movi hold ."
335,"excel movi . product arriv time manner , promis . would recommend seller ."
336,"seen movi , forgotten plot love movi . like scare good one . titl perfect . watch see mean ."
337,"slow move , bore , bad . never finish . bad.must low budget type movi . worth ."
338,"insight seedi world box . , hoaki poor act , except bogey ."
339,fan tim allen santa claus movi great . funni .
340,movi start littl slow . paint pictur miseri hopeless first . part set end well worth price movi .
341,"famili like john candi , movi one beast video 's famili could enjoy . one word ."
342,"start like movi first jame spader tri stea movi , went . said succes nicholson movi ."
343,htf happen . back forth nonsens . today 's navi disciplin regiment .
344,humor . rememb see year ago . govern polici marijuana today realli n't chang compar movi 's point .
345,"typic hollywood plot total predict happi end ; clever amor lawyer turn nice guy , could n't see come , get help"
346,"get . sometim 's hard , imposs , break away dictum societi . n't stop movi one hand movi make wish film never invent ."
347,"found youtub laugh entir time . get tire watch comput screen , bought dvd . funni first time watch . love !"
348,love design set . watch stori line age relev .
349,great sci-fi film ! made still relev forecast newest scienc technolog advanc made today yet see futur . realist intens . must see !
350,"littl one love movi , much . 's nice abl watch nutcrack home think go person much better ."
351,love movi . funni like mel brook film must
352,"watch movi 's , still good movi , lot action . great love stori ."
353,gave rate script could excel . bad languag see famili movi . strictli adult . even would watch .
354,"mildli interest , good stori , kept interest . 's hard get past melani griffith 's ditsi voic ( realiz 's probabl ) ."
355,"conglomer french british cinematographi fox portray patholog hit man . film locat england , itali franc shortli time period portray . excel film !"
356,seem like origin sound track chang . like origin voic better . voic origin black white version seem chang .
357,", , appal poor pictur qualiti bluray disc . movi era look absolut stun , icon film treat somshabbili ?"
358,anni classic movi show littl girl stand strong well stand friend . movi also great music . daughter love movi !
359,seen movi high school . day 'm still laugh . classic book . put right next christma stori .
360,. steve martin one schtick . freak-out . funni . four time movi . 's three time mani .
361,"wife got sad movi gift girl work , oh ! ! ! ! , ever stink . play like soap opera , good one . pit ."
362,"bright market bs- scar child .. day memori linger . knew come ? ? ? ? ? ? ? ? occur book , club otter death , ai n't got fun ..."
363,think titl cover .. bela lugosi die film anoth actor take place .. replac actor cover face whenev camera .. watch . special effect epic !
364,"chri sarandon break heart sydney carton ; , 's suppos , n't . great set costum . well done ."
365,exactli describ . use accept . scratch dvd look like still play . n't leav follow review . could n't beat $ 4.00 price includ ship tho
366,realli n't get . like whole bat countri thing . book soooooooooo much better easi get easi laugh .
367,two great 'behind enemi line pow escap ' movi great escap one . n't like sinatra 's music ww2 movi realli good .
368,ok movi definit brought back good memori young
369,great movi came . 's mildli interest . dialogu bit strain unbeliev .
370,realiz prior tv show `` amo & andi '' black face version . expect see tv show version .
371,pretti good . take classic christma carol set origin london bring america . henri winkler good scroog charact
372,one time favorit ! ! better way spend even kick back watch classic . one best . ca n't go wrong movi . highli recommend ! !
373,'ve start delv show revel biblic matter fire tv offer . guy comedian also give thought audienc .
374,"love dog fairli good store go along get good movi . jim get satir crazi , comic part stori"
375,way bill murray allow movi . tyron power roll grave .
376,good suspens movi nice twist end . thought nut entir time . 've watch twice .
377,kind movi make wonder supernatur realli exist . like past great movi . need say .
378,person would give star sinc like daughter love get star famili . good stori mean famili . funni moment made chuckl .
379,'s ok entertain much els say movi . young girl emot otherwis act pretti good .
380,scoobi doo made mani time new scoobi doo show lame one good storylin .
381,classic love stori thought would love long bit bore
382,"disappoint film . script justic clees . talent wast , stori slow move ."
383,"urban novelist consum kindl , decid give tri . base true event excel rag rich well got ta see . n't want spoil much ."
384,"new year tradit must . watch everi new year eve , famili agre , perfect movi round holiday movi view tradit ."
385,"wait long time find dvd replac vh copi year ago . darl children 's stori anim . heartwarm , happi end ."
386,"somewhat strang , possibl true stori . good like war state movi , clint eastwood !"
387,typic rodney dangerfield mood good laugh someth made think
388,"minut , overlong , dyan cannon wooden . expect , hand , 60 canon . see ? watch , period feel ."
389,love movi ! alway big fan movi n't know never own ... glad see got around $ even though dvd : )
390,love gari cooper movi real actor special effect pure act abil . would love cooper movi !
391,nice period costum slower pace life . nice see earlier period life done well . great detail .
392,saw movi year ago rememb differ kind love stori . ca n't wait see come .
393,daughter obsess movi sinc saw first time mani year ago still watch .
394,"airplan decent sequel , joke dialogu clever witti origin ."
